"id","date","salutation","title","mail","creation_date","newsletter","model","paymenttype","deliverytype","invoicepostcode","delivpostcode","voucher","advertisingdatacode","value","numberitems","gift","entry","points","shippingcosts","deliverydatepromised","deliverydatereal","weight","remitted","cancelled","used","b1","b2","b3","b4","b5","b6","b7","b8","b9","b10","b11","reorder"
20,"2008-08-04",0,0,12,"2008-08-04",0,1,3,0,53,NA,0,"BQ",4,3,0,0,0,0,"2008-08-06","0000-00-00",0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,"yes"
22,"2008-11-26",0,0,9,"2008-11-26",1,2,1,1,45,NA,0,"",4,2,0,1,0,0,"2008-11-27","2008-11-26",819,0,0,0,0,0,2,0,0,0,0,0,0,0,0,"no"
25,"2008-08-30",1,0,9,"2008-08-30",0,3,0,0,29,NA,0,"",1,1,0,1,0,1,"2008-09-02","2008-09-01",160,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"no"
26,"2008-12-19",1,0,0,"2008-12-19",0,1,0,0,16,NA,0,"AB",4,1,0,0,0,0,"2008-12-23","2008-12-20",2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"no"
27,"2008-10-17",0,0,9,"2008-10-17",0,1,0,0,97,NA,0,"",4,2,0,0,0,0,"2008-10-21","2008-10-18",1240,0,0,0,1,1,0,0,0,0,0,0,0,0,0,"no"
28,"2008-10-09",1,0,1,"2008-10-09",0,1,2,0,53,NA,0,"",4,2,0,0,0,0,"2009-10-13","2008-10-10",352,0,1,0,1,0,0,0,0,0,0,0,0,0,0,"no"
29,"2008-12-30",0,0,8,"2008-12-30",1,2,1,1,58,NA,0,"",1,1,0,1,0,0,"2009-01-15","2009-01-16",300,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"yes"
30,"2008-07-22",0,0,4,"2008-07-22",0,1,0,0,22,NA,0,"",3,1,0,0,0,0,"2008-08-05","2008-09-10",530,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"no"
31,"2008-11-09",2,0,12,"2008-11-09",0,3,0,0,65,NA,0,"",5,1,0,1,0,0,"2009-11-12","2008-11-14",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"no"
32,"2008-06-22",1,0,8,"2008-06-22",1,2,1,1,46,NA,0,"",1,1,0,1,0,0,"2008-06-24","2008-06-24",169,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"yes"
33,"2008-07-08",0,0,0,"2008-07-08",1,2,0,0,47,NA,1,"",2,3,0,1,0,0,"2008-07-10","2008-07-09",1078,0,0,0,1,2,0,0,0,0,0,0,0,0,0,"yes"
34,"2008-05-14",0,0,9,"2008-05-14",0,1,0,0,55,NA,0,"",2,1,0,0,0,1,"2008-05-16","2008-05-15",733,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"no"
35,"2008-06-29",0,0,12,"2008-06-29",0,2,0,0,44,NA,1,"",4,3,0,1,0,0,"2008-07-01","2008-06-30",1690,0,0,0,3,0,0,0,0,0,0,0,0,0,0,"no"
36,"2008-04-15",1,1,12,"2008-04-15",0,1,3,0,22,NA,0,"",5,5,0,0,0,0,"2008-04-16","0000-00-00",0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,"no"
37,"2008-12-23",0,0,8,"2008-12-22",0,2,0,0,41,NA,1,"",1,1,0,1,0,1,"2008-12-25","2008-12-27",630,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"yes"
39,"2008-04-11",1,0,10,"2008-04-11",0,3,1,1,30,NA,0,"",4,4,0,1,0,0,"2008-04-24","2008-04-26",848,0,0,0,0,0,0,0,0,0,0,0,0,4,0,"yes"
40,"2008-10-15",1,0,9,"2008-10-15",0,2,3,0,45,NA,0,"",3,1,0,1,0,0,"2008-10-17","2008-10-16",450,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"no"
41,"2008-04-09",2,0,8,"2008-04-09",0,1,0,0,82,NA,0,"",4,1,0,0,0,0,"2008-04-11","2008-04-10",757,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"no"
42,"2008-09-19",0,0,12,"2008-09-19",0,1,2,0,63,NA,0,"",4,6,0,0,0,0,"2009-09-22","2008-09-26",1507,0,0,0,5,0,1,0,0,0,0,0,0,0,0,"no"
43,"2008-05-02",0,0,9,"2008-04-16",1,1,2,0,78,NA,0,"",4,3,0,0,0,0,"2008-06-02","2008-05-13",1039,0,0,0,0,0,0,0,0,0,0,0,0,3,0,"no"
44,"2008-11-22",0,0,1,"2008-11-22",0,3,3,0,34,NA,0,"",3,3,0,1,0,0,"2008-11-25","2008-11-24",551,0,0,0,0,0,0,0,0,0,0,0,0,0,4,"no"
45,"2008-06-23",0,0,8,"2008-06-23",0,1,0,0,96,NA,0,"",4,2,0,0,0,0,"2008-06-25","2008-06-26",863,0,0,0,2,0,0,0,0,0,0,0,0,0,0,"yes"
46,"2008-09-30",1,0,9,"2008-09-30",0,1,2,0,10,NA,0,"",2,1,0,0,0,0,"2008-10-02","0000-00-00",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"no"
52,"2008-11-17",0,0,4,"2008-11-17",0,1,1,1,10,NA,0,"",2,1,0,0,0,0,"2008-12-02","0000-00-00",498,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"no"
53,"2008-10-05",1,0,11,"2008-10-05",1,1,3,0,21,NA,0,"BQ",3,1,0,0,0,0,"2008-10-07","0000-00-00",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"no"
54,"2008-08-08",0,0,9,"2008-08-08",0,1,2,0,74,NA,0,"BQ",4,4,0,0,0,0,"2008-08-11","0000-00-00",0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,"no"
55,"2008-09-15",0,0,8,"2008-09-15",0,1,0,0,67,NA,1,"BQ",3,2,0,0,0,0,"2009-09-18","2008-09-16",364,0,1,0,1,0,0,0,0,0,0,0,0,0,0,"no"
56,"2008-04-06",0,0,5,"2008-04-06",0,1,3,0,89,NA,0,"",1,1,0,0,0,0,"2008-04-08","0000-00-00",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"no"
60,"2008-12-30",0,0,12,"2008-12-30",0,3,0,0,54,54,0,"",5,2,0,1,0,0,"2009-01-01","2009-01-02",895,0,0,0,2,0,0,0,0,0,0,0,0,0,0,"yes"
61,"2008-05-15",0,0,4,"2008-05-15",0,2,0,0,44,NA,0,"",4,1,0,1,0,0,"2008-05-19","2008-05-16",3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"no"
62,"2008-08-20",1,0,12,"2008-04-04",0,3,1,1,78,NA,0,"",3,1,0,1,0,0,"2008-08-22","2008-08-21",616,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"no"
63,"2008-05-09",0,0,9,"2008-05-09",0,3,0,0,45,NA,0,"BQ",2,1,0,1,0,0,"2008-05-14","0000-00-00",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"no"
64,"2008-05-30",0,0,9,"2008-05-30",1,1,2,0,15,NA,1,"BQ",3,3,0,0,0,0,"2008-06-03","2008-05-31",1916,0,0,2,2,1,0,0,0,0,0,0,0,0,0,"no"
65,"2008-12-15",1,0,4,"2008-12-15",0,1,0,0,91,NA,0,"",2,1,0,0,0,1,"2008-12-17","2008-12-16",118,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"no"
66,"2008-06-22",0,0,12,"2008-06-22",0,1,0,0,59,NA,0,"BQ",3,1,0,0,0,0,"2008-06-24","2008-06-23",415,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"yes"
67,"2008-11-09",0,0,8,"2008-11-09",0,1,0,0,91,NA,0,"BR",2,1,0,0,0,1,"2008-11-11","2008-11-10",2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,"no"
68,"2008-06-16",2,0,6,"2008-06-16",0,3,0,0,59,59,0,"",5,2,0,1,0,0,"2008-06-18","2008-06-17",1168,0,0,0,2,0,0,0,0,0,0,0,0,0,0,"yes"
69,"2008-06-04",0,0,9,"2008-06-04",0,2,3,0,50,NA,0,"",2,1,0,1,0,1,"2008-06-18","2008-06-10",121,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"no"
70,"2008-08-29",0,0,9,"2008-08-29",0,1,3,0,86,NA,0,"",3,1,0,0,0,0,"2008-09-02","0000-00-00",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"no"
71,"2008-06-03",0,0,9,"2008-06-03",0,3,1,1,55,NA,0,"",2,1,0,1,0,0,"2008-06-17","2008-06-07",415,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"no"
72,"2008-04-19",2,0,12,"2008-04-19",1,3,1,1,61,NA,0,"",3,1,0,1,0,0,"2008-04-22","2008-04-21",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"no"
74,"2008-12-08",1,0,9,"2008-12-08",0,2,2,0,46,NA,1,"",1,2,0,1,0,1,"2008-12-10","2008-12-09",876,0,0,0,0,2,0,0,0,0,0,0,0,0,0,"no"
75,"2008-09-11",1,0,9,"2008-09-11",0,1,3,0,35,NA,0,"",4,1,0,0,0,0,"2008-09-15","2008-09-12",931,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"no"
77,"2008-08-16",1,0,8,"2008-08-16",0,1,3,0,81,NA,0,"BQ",3,2,0,0,0,0,"2008-09-02","2008-08-21",699,0,0,0,0,2,0,0,0,0,0,0,0,0,0,"no"
78,"2008-11-27",0,0,9,"2008-11-27",0,1,3,0,99,NA,0,"",4,3,0,0,0,0,"2008-11-28","2008-11-27",1226,0,0,0,3,0,0,0,0,0,0,0,0,0,0,"no"
79,"2008-11-20",0,0,4,"2008-11-20",1,1,0,0,47,NA,0,"",2,1,0,0,0,0,"2008-11-21","2008-11-20",422,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"no"
84,"2008-10-08",2,0,9,"2008-10-08",0,3,0,0,24,NA,0,"",4,2,0,1,0,0,"2008-10-10","2008-10-09",869,0,0,0,0,0,2,0,0,0,0,0,0,0,0,"no"
86,"2008-09-18",1,0,4,"2008-09-18",0,1,2,0,47,NA,0,"",1,1,0,0,0,0,"2008-09-22","0000-00-00",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"no"
87,"2008-12-05",0,0,9,"2008-12-05",1,3,1,1,65,NA,0,"",4,2,0,1,0,0,"2008-12-09","2008-12-06",851,0,0,0,1,2,0,0,0,0,0,0,0,0,0,"no"
88,"2008-11-18",0,0,1,"2008-11-18",0,3,1,1,65,NA,0,"",4,1,0,1,0,0,"2008-11-20","2008-11-19",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"yes"
89,"2008-05-02",0,0,4,"2008-05-02",0,2,0,0,45,NA,1,"",1,1,0,1,0,1,"2008-06-02","2008-05-03",199,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"no"
90,"2008-04-18",0,0,0,"2008-04-10",1,1,0,0,91,NA,1,"",1,1,0,0,0,1,"2008-04-21","2008-04-18",378,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"yes"
91,"2008-08-19",1,0,0,"2008-08-19",0,1,0,0,96,NA,1,"",1,1,0,0,0,0,"2008-08-21","0000-00-00",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"no"
92,"2008-04-16",1,0,12,"2008-04-16",0,1,2,0,28,NA,0,"",2,1,0,0,0,1,"2008-04-18","2008-04-17",230,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"no"
93,"2008-12-21",0,0,12,"2008-12-21",1,2,0,0,44,NA,0,"",4,1,0,1,0,0,"2008-12-23","2008-12-22",2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"no"
95,"2008-06-26",1,0,12,"2008-06-26",0,3,1,1,23,NA,0,"",5,3,0,1,0,0,"2009-06-30","2008-09-19",1585,0,0,0,3,0,0,0,0,0,0,0,0,0,0,"no"
96,"2008-08-04",1,0,12,"2008-08-04",1,3,0,0,47,NA,0,"",3,2,0,1,0,0,"2008-08-05","2008-08-05",1466,0,0,0,0,2,0,0,0,0,0,0,0,0,0,"no"
97,"2008-12-06",1,0,9,"2008-12-06",1,3,1,1,91,NA,0,"",4,2,0,1,0,0,"2008-12-09","2008-12-08",1247,0,0,0,2,0,0,0,0,0,0,0,0,0,0,"yes"
99,"2008-07-07",1,0,11,"2008-07-07",0,1,3,0,86,NA,1,"",4,2,0,0,0,0,"2008-07-22","2008-07-11",497,0,0,0,1,0,0,0,0,0,0,1,0,0,0,"no"
100,"2008-08-25",0,0,12,"2008-08-25",0,1,0,0,22,NA,1,"",1,1,0,0,0,1,"2008-08-26","2008-08-25",347,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"no"
101,"2008-10-08",0,0,9,"2008-10-08",1,3,1,1,78,NA,0,"",3,2,0,1,0,0,"2008-10-10","2008-10-09",197,0,0,0,0,0,0,0,0,0,2,0,0,0,0,"yes"
102,"2008-10-13",0,0,12,"2008-10-13",1,1,3,0,30,NA,0,"",2,1,0,0,0,0,"2008-10-14","0000-00-00",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"no"
103,"2008-09-02",1,0,6,"2008-09-02",0,1,0,0,9,NA,0,"",3,1,0,0,0,0,"2008-09-03","2008-09-02",803,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"no"
104,"2008-09-05",0,0,4,"2008-09-05",0,1,0,0,91,NA,1,"AR",1,1,0,0,0,0,"2008-09-08","0000-00-00",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"no"
105,"2008-04-29",0,0,4,"2008-04-29",0,3,2,0,99,NA,1,"",5,1,0,1,0,0,"2008-04-30","2008-04-30",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"no"
106,"2008-12-16",0,0,9,"2008-12-16",0,3,0,0,31,NA,0,"",5,1,0,1,0,0,"2008-12-30","2009-01-06",2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"no"
108,"2008-10-12",1,0,8,"2008-10-12",0,2,0,0,57,NA,0,"",4,2,0,1,0,0,"2008-10-28","2008-10-15",855,0,0,0,2,0,0,0,0,0,0,0,0,0,0,"no"
109,"2008-06-09",2,0,4,"2008-06-09",0,1,2,0,93,NA,0,"BQ",1,1,0,0,0,0,"2008-06-11","0000-00-00",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"no"
110,"2008-11-20",0,0,11,"2008-11-20",0,1,0,0,80,NA,0,"",1,1,0,0,0,0,"2008-11-21","2008-11-20",330,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"no"
111,"2008-05-01",0,0,8,"2008-05-01",0,2,0,0,53,NA,1,"",1,1,0,1,0,0,"2008-06-02","2008-05-02",977,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"no"
112,"2008-11-25",0,0,12,"2008-11-25",0,1,0,0,26,26,0,"",3,3,0,0,0,0,"2008-11-27","2008-11-26",854,0,0,0,0,0,0,0,0,0,0,0,0,3,0,"no"
113,"2008-09-03",0,0,9,"2008-09-03",0,3,0,0,31,NA,0,"",4,1,0,1,0,0,"2008-09-05","2008-09-04",1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,"yes"
114,"2008-09-26",0,0,0,"2008-09-26",0,3,3,0,30,NA,0,"",4,1,0,1,0,0,"2008-09-29","0000-00-00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"no"
115,"2008-09-19",0,0,9,"2008-09-19",1,1,0,0,53,NA,0,"BQ",5,4,0,0,0,0,"2009-09-22","2008-10-11",2020,0,0,0,0,0,0,0,0,0,0,0,0,4,0,"no"
116,"2008-08-05",0,0,9,"2008-08-05",0,1,0,0,99,NA,1,"AR",1,1,0,0,0,0,"2008-08-07","0000-00-00",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"no"
117,"2008-07-16",0,0,5,"2008-07-16",1,1,0,0,26,NA,0,"",5,3,0,0,0,0,"2008-07-18","2008-07-17",1697,0,0,0,3,0,0,0,0,0,0,0,0,0,0,"yes"
118,"2008-10-30",1,0,8,"2008-10-30",0,2,1,1,52,NA,0,"",3,1,0,1,0,0,"2008-10-31","2008-10-30",398,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"no"
119,"2008-12-06",0,0,2,"2008-12-06",1,1,3,0,31,NA,0,"",4,2,0,0,0,0,"2008-12-09","2008-12-07",489,0,0,0,0,0,0,0,0,0,0,1,0,0,1,"no"
120,"2008-10-07",0,0,5,"2008-10-07",0,1,0,0,50,NA,0,"BO",4,7,0,0,0,0,"2008-10-09","2008-10-08",1309,0,0,0,0,7,0,0,0,0,0,0,0,0,0,"yes"
122,"2008-11-26",0,0,9,"2008-11-26",0,3,1,1,22,NA,0,"",3,5,0,1,0,0,"2008-12-10","2008-11-27",870,0,0,0,5,0,0,0,0,0,0,0,0,0,0,"no"
123,"2008-11-08",0,0,12,"2008-11-08",0,1,2,0,67,NA,0,"",2,3,0,0,0,1,"2008-11-11","2008-11-10",1180,0,0,3,0,3,0,0,0,0,0,0,0,0,0,"yes"
124,"2008-10-22",0,0,3,"2008-10-22",0,1,0,0,64,NA,0,"BQ",1,1,0,0,0,0,"2008-10-24","0000-00-00",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"no"
125,"2008-04-20",0,0,8,"2008-04-20",0,3,2,0,77,NA,0,"",4,2,0,1,0,0,"2008-04-22","2008-04-21",718,0,0,0,1,1,0,0,0,0,0,0,0,0,0,"no"
127,"2008-09-02",1,0,0,"2008-09-02",0,2,0,0,41,NA,0,"",3,2,0,1,0,0,"2009-09-07","2008-10-30",835,0,0,0,0,0,2,0,0,0,0,0,0,0,0,"no"
128,"2008-10-09",0,0,4,"2008-10-09",1,2,0,0,52,NA,1,"",2,2,0,1,0,0,"2008-10-10","2008-10-09",1600,0,0,0,1,1,0,0,0,0,0,0,0,0,0,"no"
129,"2008-11-29",0,0,5,"2008-11-29",0,2,2,0,52,NA,0,"",2,1,0,1,0,1,"2008-12-02","2008-11-30",374,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"no"
130,"2008-07-12",0,0,12,"2008-07-12",0,1,0,0,53,NA,0,"AB",2,1,0,0,0,1,"2008-07-15","2008-07-14",257,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"no"
131,"2008-10-05",1,0,4,"2008-10-05",1,1,0,0,20,NA,0,"",2,1,0,0,0,0,"2008-10-07","0000-00-00",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"yes"
134,"2008-09-16",0,0,0,"2008-09-16",0,1,0,0,72,NA,1,"AR",1,1,0,0,0,0,"2008-09-17","0000-00-00",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"no"
135,"2008-11-27",1,0,9,"2008-11-27",1,2,0,0,54,NA,0,"",4,3,0,1,0,0,"2008-12-01","2008-12-05",1097,0,1,0,2,0,0,0,0,0,0,0,0,0,0,"no"
136,"2008-09-15",0,0,3,"2008-09-15",1,1,2,0,70,18,0,"BQ",5,3,0,0,0,1,"2008-09-17","2008-09-16",1520,0,0,0,3,0,0,0,0,0,0,0,0,0,0,"no"
137,"2008-08-28",0,0,6,"2008-08-28",0,2,2,0,42,NA,1,"",1,2,0,1,0,1,"2008-08-29","2008-08-29",585,0,0,0,0,2,0,0,0,0,0,0,0,0,0,"no"
138,"2008-08-28",1,0,9,"2008-08-28",0,3,0,0,27,NA,0,"",2,2,0,1,0,1,"2008-10-14","2008-09-16",337,0,0,0,0,1,1,0,0,0,0,0,0,0,0,"no"
139,"2008-11-11",2,0,12,"2008-11-11",0,1,0,0,22,NA,0,"",5,1,0,0,0,0,"2008-11-13","2008-11-12",249,0,0,0,11,0,0,0,0,0,0,0,0,0,0,"no"
140,"2008-10-13",0,0,9,"2008-10-13",0,1,2,0,75,NA,0,"",4,3,0,0,0,0,"2008-10-15","2008-10-14",1731,1,0,0,1,2,0,0,0,0,0,0,0,0,0,"yes"
141,"2008-06-22",1,0,12,"2008-06-22",0,1,0,0,44,NA,0,"",5,2,0,0,0,0,"2008-06-24","2008-06-23",370,0,0,0,2,0,0,0,0,0,0,0,0,0,0,"no"
142,"2008-08-07",0,0,12,"2008-08-07",0,1,2,0,14,NA,1,"",1,1,0,0,0,0,"2008-08-08","0000-00-00",0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,"no"
143,"2008-08-06",0,0,5,"2008-08-06",0,2,2,0,53,NA,1,"",1,1,0,1,0,1,"2008-08-08","2008-08-07",289,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"no"
144,"2008-12-07",0,0,9,"2008-12-07",0,3,2,0,17,NA,0,"",2,1,0,1,0,1,"2009-12-10","2008-12-27",206,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"no"
145,"2008-05-21",1,0,4,"2008-05-21",0,1,1,1,44,NA,0,"CA",2,1,0,0,0,0,"2008-05-22","2008-05-21",479,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"yes"
146,"2008-12-15",0,0,2,"2008-12-15",0,1,0,0,16,NA,0,"",3,1,0,0,0,1,"2009-12-18","2009-03-07",318,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"no"
147,"2008-07-14",0,0,4,"2008-07-14",0,1,0,0,37,NA,0,"BQ",3,1,0,0,0,0,"2008-07-16","2008-07-15",470,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"no"
148,"2008-12-06",0,0,8,"2008-12-06",0,2,0,0,52,NA,1,"",1,2,0,1,0,0,"2008-12-19","2008-12-17",516,2,0,0,1,0,0,0,0,0,0,0,0,2,0,"yes"
149,"2008-12-30",0,0,4,"2008-12-30",0,1,2,0,64,NA,0,"",4,1,0,0,0,0,"2008-12-31","2008-12-30",570,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"no"
150,"2008-07-17",0,0,4,"2008-07-17",0,3,1,1,73,NA,0,"",4,1,0,1,0,0,"2008-07-21","2008-07-18",948,0,0,0,2,0,0,0,0,0,0,0,0,0,0,"no"
152,"2008-12-28",0,0,9,"2008-12-28",0,2,0,0,51,51,1,"",1,1,0,1,0,0,"2008-12-30","2008-12-29",752,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"no"
153,"2008-12-22",1,0,2,"2008-12-22",0,1,1,1,91,NA,0,"",2,1,0,0,0,0,"2008-12-23","2008-12-22",80,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"yes"
154,"2008-08-20",0,0,12,"2008-08-20",0,2,0,0,52,NA,1,"",2,2,0,1,0,0,"2008-08-22","2008-08-21",1010,0,0,0,2,0,0,0,0,0,0,0,0,0,0,"yes"
155,"2008-10-20",2,0,12,"2008-10-20",0,1,0,0,22,NA,0,"",5,1,0,0,0,0,"2008-10-21","2008-10-20",15,0,0,0,25,0,0,0,0,0,0,0,0,0,0,"no"
157,"2008-11-18",1,0,9,"2008-11-18",1,1,3,0,46,NA,0,"",4,1,0,0,0,0,"2008-11-20","2008-11-19",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"no"
158,"2008-09-17",2,0,12,"2008-09-17",1,3,0,0,97,NA,0,"",3,1,0,1,0,0,"2008-09-18","2008-09-17",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"no"
159,"2008-11-09",1,0,4,"2008-11-09",0,1,2,0,4,NA,0,"",3,1,0,0,0,0,"2008-11-11","2008-11-10",714,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"yes"
160,"2008-12-29",0,0,9,"2008-12-29",1,1,0,0,88,NA,0,"BO",3,3,0,0,0,0,"2008-12-31","2008-12-30",1286,0,0,0,0,3,0,0,0,0,0,0,0,0,0,"yes"
161,"2008-12-21",0,0,4,"2008-12-21",0,1,0,0,69,NA,1,"",1,1,0,0,0,0,"2008-12-23","0000-00-00",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"no"
162,"2008-12-25",1,0,9,"2008-12-25",0,3,3,0,55,NA,0,"",3,1,0,1,0,0,"2008-12-29","0000-00-00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"no"
163,"2008-12-13",0,0,11,"2008-07-11",0,1,0,0,28,NA,0,"",5,5,0,0,0,0,"2008-12-16","2008-12-14",2896,0,0,0,6,0,0,0,0,0,0,0,0,0,0,"no"
164,"2008-12-17",1,0,8,"2008-12-17",0,3,3,0,97,NA,0,"",4,2,0,1,0,0,"2008-12-19","2008-12-18",1070,0,0,0,1,0,0,0,0,0,1,0,0,0,0,"yes"
