"id","age","workclass","rating","education","edu","family_status","occupation","relationship","origin","gender","gain","loss","hours_weekly","country","income"
59,37," Local-gov",269300," Some-college",10,2," Adm-clerical"," Unmarried",3,1,0,0,27," United-States","low"
60,74," Private",70234," HS-grad",9,5," Sales"," Unmarried",5,1,0,0,26," United-States","low"
63,33," Private",198452," Bachelors",13,4," Tech-support"," Unmarried",5,1,5454,0,40," United-States","low"
65,24," Private",204172," HS-grad",9,3," Handlers-cleaners"," Own-child",5,1,0,0,48," United-States","low"
67,28," Private",47168," 10th",6,3," Machine-op-inspct"," Own-child",5,1,0,0,40," United-States","low"
69,22," Private",65225," 10th",6,3," Other-service"," Own-child",5,1,0,0,40," United-States","low"
71,38," Private",27997," Assoc-voc",11,1," Craft-repair"," Not-in-family",5,2,0,0,40," United-States","low"
73,49," Private",265295," HS-grad",9,3," Craft-repair"," Not-in-family",5,2,0,0,40," United-States","low"
74,39," Self-emp-not-inc",251323," 9th",5,2," Farming-fishing"," Other-relative",5,2,0,0,40," Cuba","low"
76,42," Self-emp-inc",165981," Some-college",10,2," Farming-fishing"," Husband",5,2,0,0,60," United-States","low"
78,60," Local-gov",168381," Assoc-voc",11,5," Adm-clerical"," Not-in-family",1,1,0,0,40," United-States","low"
79,32," Private",156464," HS-grad",9,2," Craft-repair"," Husband",5,2,0,0,40," United-States","low"
80,31," Private",257148," Bachelors",13,5," Prof-specialty"," Own-child",5,2,0,0,35," United-States","low"
81,48," Private",207946," HS-grad",9,1," Adm-clerical"," Unmarried",5,1,0,0,52," United-States","low"
82,65," Self-emp-not-inc",72776," 7th-8th",4,3," Farming-fishing"," Not-in-family",5,2,2963,0,40," United-States","low"
83,26," Private",193050," Some-college",10,1," Adm-clerical"," Unmarried",5,1,0,0,18," United-States","low"
84,51," Private",312477," Some-college",10,2," Transport-moving"," Husband",5,2,3907,0,40," United-States","low"
85,23," State-gov",103588," Some-college",10,3," Adm-clerical"," Own-child",5,2,0,0,25," United-States","low"
86,19," Private",294029," 11th",7,3," Sales"," Own-child",4,1,0,0,32," Nicaragua","low"
87,20," Private",344278," 11th",7,4," Other-service"," Own-child",5,1,0,0,40," United-States","low"
90,54," Local-gov",152540," Some-college",10,1," Craft-repair"," Unmarried",5,2,0,0,42," United-States","low"
91,40," Self-emp-inc",132222," HS-grad",9,2," Exec-managerial"," Husband",5,2,0,0,40," United-States","low"
92,17," Private",132636," 11th",7,3," Sales"," Own-child",5,1,0,0,15," United-States","low"
93,28," Private",210313," 10th",6,3," Handlers-cleaners"," Other-relative",5,2,0,0,40," Mexico","low"
95,56," Federal-gov",156842," Some-college",10,4," Other-service"," Not-in-family",3,2,0,0,40," United-States","low"
96,37," Local-gov",217689," Some-college",10,2," Other-service"," Husband",1,2,0,0,32," United-States","low"
98,38," Private",130813," HS-grad",9,1," Machine-op-inspct"," Other-relative",5,1,0,0,40," United-States","low"
99,61," Self-emp-not-inc",133969," HS-grad",9,2," Sales"," Husband",2,2,0,0,63," South","low"
102,40," Private",315321," HS-grad",9,1," Exec-managerial"," Unmarried",5,1,0,628,52," United-States","low"
104,24," ?",152140," HS-grad",9,2," ?"," Wife",5,1,0,0,40," United-States","low"
105,49," Private",200471," 1st-4th",2,2," Craft-repair"," Husband",5,2,0,0,40," Portugal","low"
106,64," Private",342494," HS-grad",9,2," Machine-op-inspct"," Husband",5,2,0,0,40," United-States","low"
107,53," Private",287317," HS-grad",9,1," Other-service"," Not-in-family",3,2,0,0,40," United-States","low"
109,51," Private",183709," Assoc-voc",11,4," Prof-specialty"," Unmarried",5,1,0,0,40," United-States","low"
110,28," Private",224629," Masters",14,3," Exec-managerial"," Not-in-family",4,2,0,0,30," Cuba","low"
111,18," ?",326640," HS-grad",9,3," ?"," Own-child",5,1,0,0,20," United-States","low"
112,27," Private",93206," Some-college",10,3," Handlers-cleaners"," Own-child",2,2,0,0,40," United-States","low"
115,19," Private",162954," HS-grad",9,3," Sales"," Own-child",5,1,0,0,30," United-States","low"
116,20," ?",211968," Some-college",10,3," ?"," Own-child",5,1,0,0,45," United-States","low"
118,45," State-gov",264052," HS-grad",9,2," Craft-repair"," Husband",5,2,0,0,40," United-States","low"
119,30," Private",254905," HS-grad",9,2," Machine-op-inspct"," Husband",5,2,0,0,40," United-States","low"
120,39," State-gov",85566," Bachelors",13,2," Prof-specialty"," Husband",5,2,0,0,40," United-States","low"
123,19," Private",164585," HS-grad",9,3," Machine-op-inspct"," Own-child",5,1,0,0,40," United-States","low"
128,24," Private",161638," HS-grad",9,2," Machine-op-inspct"," Not-in-family",5,1,0,0,40," Ecuador","low"
130,35," Self-emp-not-inc",256992," 5th-6th",3,2," Other-service"," Wife",5,1,0,0,15," Mexico","low"
131,49," Private",40000," Bachelors",13,2," Sales"," Husband",5,2,4063,0,44," United-States","low"
133,21," Private",252024," HS-grad",9,3," Handlers-cleaners"," Other-relative",5,2,0,0,20," Mexico","low"
136,46," Private",305160," 1st-4th",2,2," Handlers-cleaners"," Husband",5,2,0,0,40," Mexico","low"
137,55," Self-emp-not-inc",105582," Masters",14,2," Sales"," Husband",5,2,2227,0,50," United-States","low"
138,46," Private",35406," 7th-8th",4,4," Other-service"," Not-in-family",5,1,0,0,32," United-States","low"
139,49," Private",176814," Some-college",10,2," Craft-repair"," Husband",5,2,0,0,50," Canada","low"
140,33," Private",123031," HS-grad",9,2," Adm-clerical"," Unmarried",1,2,0,0,40," United-States","low"
143,36," Self-emp-not-inc",110622," Bachelors",13,1," Sales"," Unmarried",2,1,0,0,8," South","low"
145,51," Private",154342," 7th-8th",4,2," Protective-serv"," Husband",5,2,0,0,40," United-States","low"
146,27," Federal-gov",196386," Assoc-acdm",12,2," Adm-clerical"," Husband",5,2,4063,0,40," El-Salvador","low"
148,43," Private",107584," Some-college",10,2," Sales"," Husband",5,2,0,0,55," United-States","low"
149,53," Private",139157," 5th-6th",3,2," Machine-op-inspct"," Husband",5,2,0,0,40," United-States","low"
150,57," Private",250201," HS-grad",9,5," Transport-moving"," Unmarried",5,2,0,0,50," United-States","low"
151,22," Private",194723," Bachelors",13,3," Adm-clerical"," Own-child",5,1,0,0,10," United-States","low"
152,20," Private",352139," Some-college",10,1," Other-service"," Own-child",5,1,0,0,29," United-States","low"
153,31," Private",98639," HS-grad",9,3," Craft-repair"," Unmarried",5,2,0,0,40," United-States","low"
157,30," Private",119411," Bachelors",13,3," Prof-specialty"," Not-in-family",5,2,0,0,40," United-States","low"
158,41," Self-emp-inc",139916," Assoc-voc",11,2," Sales"," Husband",4,2,0,2182,84," Mexico","low"
160,56," Private",301835," 5th-6th",3,4," Machine-op-inspct"," Not-in-family",5,2,0,0,40," United-States","low"
163,51," Private",193720," HS-grad",9,2," Craft-repair"," Husband",5,2,0,0,42," United-States","low"
166,17," Private",242605," 10th",6,3," Handlers-cleaners"," Own-child",5,2,0,0,15," United-States","low"
167,25," Private",189663," Masters",14,3," Prof-specialty"," Own-child",5,1,0,0,40," United-States","low"
168,21," Private",209955," HS-grad",9,3," Craft-repair"," Not-in-family",5,2,0,0,48," United-States","low"
169,43," Local-gov",169203," Assoc-voc",11,3," Adm-clerical"," Not-in-family",5,1,0,0,35," United-States","low"
170,27," Private",197905," Some-college",10,2," Other-service"," Husband",5,2,0,0,40," United-States","low"
171,26," Private",196899," Assoc-acdm",12,4," Craft-repair"," Not-in-family",4,1,0,0,40," United-States","low"
174,46," Private",168191," HS-grad",9,4," Craft-repair"," Not-in-family",5,2,0,0,2," Italy","low"
175,22," Private",214731," 10th",6,2," Machine-op-inspct"," Wife",5,1,0,0,40," United-States","low"
177,26," Private",343506," HS-grad",9,3," Other-service"," Own-child",3,1,0,0,40," United-States","low"
178,33," Private",111696," Some-college",10,2," Adm-clerical"," Husband",5,2,0,0,45," United-States","low"
179,45," Private",339506," HS-grad",9,3," Sales"," Not-in-family",3,2,0,0,40," United-States","low"
180,40," Private",91836," HS-grad",9,1," Craft-repair"," Not-in-family",5,2,0,0,45," United-States","low"
181,24," Private",113631," Bachelors",13,3," Other-service"," Not-in-family",5,2,0,0,40," United-States","low"
182,59," Federal-gov",178660," Assoc-acdm",12,2," Adm-clerical"," Husband",5,2,0,0,40," United-States","low"
184,20," Private",26842," Some-college",10,3," Machine-op-inspct"," Not-in-family",5,1,2175,0,40," United-States","low"
186,29," Local-gov",270379," HS-grad",9,3," Other-service"," Unmarried",3,1,0,0,40," United-States","low"
187,50," Local-gov",120190," Masters",14,1," Prof-specialty"," Not-in-family",5,1,0,0,45," United-States","low"
188,37," Private",282951," HS-grad",9,2," Prof-specialty"," Husband",5,2,0,0,40," United-States","low"
190,65," Private",220788," Masters",14,3," Prof-specialty"," Not-in-family",5,2,0,0,60," United-States","low"
192,41," Self-emp-inc",136986," Masters",14,2," Exec-managerial"," Husband",5,2,0,0,40," United-States","low"
193,29," Private",187188," Masters",14,3," Exec-managerial"," Not-in-family",2,2,0,0,60," United-States","low"
194,47," Private",133758," HS-grad",9,1," Exec-managerial"," Not-in-family",5,1,0,1977,40," United-States","low"
195,24," Private",157332," Assoc-voc",11,1," Tech-support"," Not-in-family",5,1,0,0,40," United-States","low"
197,31," Private",191001," HS-grad",9,3," Sales"," Not-in-family",5,1,0,0,40," United-States","low"
198,26," Private",212800," Assoc-acdm",12,3," Prof-specialty"," Own-child",5,1,0,0,36," United-States","low"
199,27," Private",538193," 11th",7,3," Prof-specialty"," Not-in-family",2,1,0,0,50," United-States","low"
202,20," Private",117767," Some-college",10,3," Prof-specialty"," Own-child",5,2,0,0,40," United-States","low"
203,17," Private",117549," 11th",7,3," Sales"," Own-child",3,1,0,0,35," United-States","low"
205,39," Private",156261," Some-college",10,1," Adm-clerical"," Unmarried",5,1,0,0,38," United-States","low"
206,37," Private",284582," Masters",14,2," Exec-managerial"," Wife",5,1,0,0,40," United-States","low"
208,30," Private",66194," Bachelors",13,3," Prof-specialty"," Not-in-family",5,1,0,0,60," Outlying-US(Guam-USVI-etc)","low"
209,31," Private",141410," Some-college",10,3," Transport-moving"," Not-in-family",3,2,0,0,40," United-States","low"
210,30," Self-emp-not-inc",113364," Some-college",10,3," Craft-repair"," Own-child",5,2,0,0,30," United-States","low"
211,36," Local-gov",255454," Bachelors",13,3," Protective-serv"," Not-in-family",3,2,0,0,40," United-States","low"
214,35," Self-emp-not-inc",462890," 10th",6,2," Transport-moving"," Husband",3,2,0,0,50," United-States","low"
215,54," Self-emp-not-inc",109413," Bachelors",13,2," Farming-fishing"," Husband",5,2,0,0,50," United-States","low"
217,45," State-gov",208049," HS-grad",9,1," Tech-support"," Unmarried",5,1,0,0,40," United-States","low"
219,28," ?",168524," Assoc-voc",11,2," ?"," Own-child",5,1,0,0,40," United-States","low"
220,19," Private",151801," 10th",6,3," Handlers-cleaners"," Own-child",5,2,0,0,39," United-States","low"
221,24," Private",404416," Some-college",10,3," Handlers-cleaners"," Not-in-family",5,2,0,0,40," United-States","low"
222,74," Private",97167," HS-grad",9,2," Other-service"," Husband",5,2,0,0,15," United-States","low"
223,22," Private",190916," 11th",7,1," Sales"," Other-relative",5,1,0,0,25," United-States","low"
224,36," Local-gov",359001," Some-college",10,2," Protective-serv"," Husband",5,2,0,0,48," United-States","low"
225,58," Self-emp-not-inc",31732," Bachelors",13,2," Exec-managerial"," Husband",5,2,0,0,50," United-States","low"
226,23," Federal-gov",190290," HS-grad",9,3," Armed-Forces"," Own-child",5,2,0,0,40," United-States","low"
228,53," Private",171058," Some-college",10,1," Handlers-cleaners"," Unmarried",5,1,0,0,40," United-States","low"
231,59," Private",515712," 7th-8th",4,2," Craft-repair"," Husband",5,2,0,0,40," United-States","low"
232,21," Private",174063," Assoc-voc",11,3," Other-service"," Own-child",5,1,0,0,20," United-States","low"
233,30," Federal-gov",54684," Prof-school",15,3," Exec-managerial"," Not-in-family",5,2,0,0,55," ?","low"
235,44," Self-emp-inc",64632," Doctorate",16,2," Prof-specialty"," Husband",5,2,0,0,60," United-States","low"
236,37," Private",61778," Bachelors",13,3," Farming-fishing"," Not-in-family",5,2,0,0,30," United-States","low"
237,20," Private",315877," HS-grad",9,3," Other-service"," Unmarried",5,2,0,2004,40," United-States","low"
238,24," Private",121313," HS-grad",9,2," Adm-clerical"," Husband",5,2,0,0,40," United-States","low"
239,17," Self-emp-not-inc",226203," 12th",8,3," Sales"," Own-child",5,2,0,0,45," United-States","low"
240,47," Private",323212," Some-college",10,4," Prof-specialty"," Not-in-family",5,1,0,0,50," United-States","low"
241,30," Local-gov",79190," Bachelors",13,3," Prof-specialty"," Not-in-family",5,1,0,0,40," United-States","low"
242,41," Self-emp-not-inc",99220," Some-college",10,2," Machine-op-inspct"," Husband",5,2,0,0,40," United-States","low"
244,52," Private",186224," HS-grad",9,2," Transport-moving"," Husband",5,2,0,0,40," United-States","low"
245,31," Private",132601," Some-college",10,2," Exec-managerial"," Husband",5,2,0,0,40," United-States","low"
247,34," Local-gov",101517," Some-college",10,1," Adm-clerical"," Unmarried",5,1,0,0,35," United-States","low"
249,31," Private",249869," HS-grad",9,2," Sales"," Husband",5,2,0,0,40," United-States","low"
250,52," Private",24185," HS-grad",9,1," Craft-repair"," Unmarried",5,2,0,0,84," United-States","low"
251,40," Local-gov",104235," Bachelors",13,2," Prof-specialty"," Husband",5,2,0,2054,30," United-States","low"
252,43," Private",211517," Some-college",10,3," Adm-clerical"," Not-in-family",5,2,0,1672,45," United-States","low"
253,58," ?",365410," Some-college",10,4," ?"," Other-relative",5,1,0,0,99," United-States","low"
255,37," Self-emp-not-inc",33394," HS-grad",9,2," Farming-fishing"," Husband",5,2,0,0,70," United-States","low"
256,60," ?",225894," Preschool",1,5," ?"," Not-in-family",5,1,0,0,40," Guatemala","low"
257,62," Local-gov",68268," HS-grad",9,2," Transport-moving"," Husband",5,2,0,0,40," United-States","low"
260,17," Private",239346," 10th",6,3," Other-service"," Own-child",5,2,0,0,18," United-States","low"
261,61," Local-gov",257105," Some-college",10,1," Craft-repair"," Unmarried",5,2,0,0,40," United-States","low"
263,17," Private",193199," 11th",7,3," Sales"," Unmarried",5,1,0,0,12," Poland","low"
265,52," Self-emp-not-inc",63004," Masters",14,2," Exec-managerial"," Husband",2,2,0,0,40," Philippines","low"
266,35," Private",174503," Some-college",10,1," Machine-op-inspct"," Not-in-family",5,1,0,0,40," United-States","low"
267,18," Private",434268," 11th",7,3," Adm-clerical"," Own-child",5,1,0,0,15," United-States","low"
269,30," Private",239648," Some-college",10,3," Machine-op-inspct"," Unmarried",2,2,0,0,40," Cambodia","low"
272,44," Private",302424," HS-grad",9,1," Machine-op-inspct"," Not-in-family",5,2,0,0,55," United-States","low"
273,28," Self-emp-not-inc",191027," HS-grad",9,1," Farming-fishing"," Not-in-family",5,2,0,0,40," United-States","low"
274,32," Private",184440," Some-college",10,2," Machine-op-inspct"," Husband",5,2,3463,0,40," United-States","low"
275,80," ?",91901," HS-grad",9,2," ?"," Husband",5,2,0,0,25," United-States","low"
276,40," Local-gov",261497," HS-grad",9,2," Craft-repair"," Husband",3,2,0,0,35," United-States","low"
277,20," Private",107882," Some-college",10,3," Adm-clerical"," Own-child",5,1,0,0,20," United-States","low"
279,62," Self-emp-not-inc",265007," HS-grad",9,2," Exec-managerial"," Husband",5,2,0,0,60," Ecuador","low"
280,61," State-gov",151459," 10th",6,3," Other-service"," Not-in-family",3,1,0,0,38," United-States","low"
281,27," Private",29261," Assoc-acdm",12,3," Other-service"," Other-relative",5,2,0,0,42," United-States","low"
282,30," Private",143766," HS-grad",9,3," Other-service"," Not-in-family",5,2,0,0,30," United-States","low"
284,23," Private",62278," Some-college",10,2," Sales"," Husband",5,2,0,0,45," United-States","low"
285,67," ?",159542," 5th-6th",3,5," ?"," Unmarried",3,1,0,0,40," United-States","low"
286,36," Private",365739," HS-grad",9,3," Machine-op-inspct"," Not-in-family",5,2,0,0,40," United-States","low"
288,19," Private",114066," Some-college",10,3," Adm-clerical"," Own-child",5,1,0,0,26," United-States","low"
289,46," Private",183013," Bachelors",13,1," Craft-repair"," Not-in-family",5,2,0,0,50," United-States","low"
290,49," Private",39986," 9th",5,2," Craft-repair"," Husband",5,2,0,0,40," United-States","low"
293,35," Private",112264," HS-grad",9,2," Sales"," Husband",5,2,0,0,50," United-States","low"
294,17," Private",340557," 11th",7,3," Other-service"," Own-child",5,2,0,0,25," United-States","low"
295,31," Private",101352," Bachelors",13,3," Exec-managerial"," Own-child",5,1,0,0,40," United-States","low"
296,53," Private",156612," 12th",8,1," Transport-moving"," Not-in-family",5,1,0,0,40," United-States","low"
297,32," ?",119522," Bachelors",13,1," ?"," Not-in-family",5,2,0,0,50," United-States","low"
298,29," Private",283227," Bachelors",13,3," Prof-specialty"," Not-in-family",5,2,0,0,40," United-States","low"
300,40," Private",309311," HS-grad",9,2," Farming-fishing"," Husband",5,2,0,0,40," United-States","low"
301,36," State-gov",173273," Masters",14,3," Prof-specialty"," Not-in-family",3,1,0,0,40," United-States","low"
302,37," Private",119992," 10th",6,2," Farming-fishing"," Husband",5,2,0,0,40," United-States","low"
303,18," Private",183930," HS-grad",9,3," Other-service"," Own-child",5,2,0,0,12," United-States","low"
304,34," ?",165295," 7th-8th",4,4," ?"," Unmarried",5,1,0,0,40," Mexico","low"
312,43," Private",114351," HS-grad",9,1," Craft-repair"," Not-in-family",5,2,0,0,35," United-States","low"
314,30," Local-gov",170772," HS-grad",9,2," Other-service"," Husband",5,2,0,0,40," United-States","low"
316,43," Local-gov",223861," Assoc-voc",11,1," Exec-managerial"," Not-in-family",5,1,0,0,40," United-States","low"
317,59," ?",87247," 10th",6,1," ?"," Not-in-family",5,1,0,0,40," England","low"
320,38," Private",248445," 5th-6th",3,2," Machine-op-inspct"," Husband",5,2,0,0,40," Mexico","low"
322,73," Self-emp-inc",159691," Some-college",10,1," Exec-managerial"," Not-in-family",5,1,0,0,40," United-States","low"
323,25," Private",200318," HS-grad",9,2," Transport-moving"," Husband",5,2,0,0,60," United-States","low"
324,27," Private",257033," HS-grad",9,3," Handlers-cleaners"," Not-in-family",3,2,0,0,60," United-States","low"
326,47," Private",126441," Some-college",10,2," Tech-support"," Not-in-family",5,2,0,0,40," United-States","low"
327,41," Private",170230," Bachelors",13,1," Exec-managerial"," Unmarried",5,1,0,0,45," United-States","low"
328,28," ?",190303," Assoc-acdm",12,3," ?"," Other-relative",5,2,0,0,40," United-States","low"
329,23," Private",314539," HS-grad",9,2," Sales"," Husband",5,2,0,0,40," United-States","low"
330,31," Self-emp-not-inc",340939," Bachelors",13,3," Tech-support"," Not-in-family",5,2,0,0,40," United-States","low"
331,23," Private",208238," 10th",6,3," Sales"," Own-child",5,1,0,0,20," United-States","low"
333,37," State-gov",46814," Bachelors",13,3," Prof-specialty"," Not-in-family",5,2,0,0,38," United-States","low"
336,32," Private",206365," HS-grad",9,3," Other-service"," Not-in-family",3,1,0,0,40," United-States","low"
339,33," Private",158416," HS-grad",9,3," Machine-op-inspct"," Not-in-family",5,2,0,0,40," United-States","low"
340,22," Private",100345," HS-grad",9,3," Handlers-cleaners"," Own-child",5,2,0,0,35," United-States","low"
343,50," Private",231495," HS-grad",9,2," Other-service"," Husband",5,2,0,0,40," United-States","low"
345,42," Private",444134," HS-grad",9,2," Transport-moving"," Husband",5,2,0,0,40," United-States","low"
346,61," Private",90051," 7th-8th",4,2," Machine-op-inspct"," Wife",5,1,3455,0,44," Canada","low"
347,21," State-gov",254620," Some-college",10,3," Prof-specialty"," Own-child",5,2,0,0,16," United-States","low"
348,39," Private",80479," Bachelors",13,1," Transport-moving"," Not-in-family",5,2,0,0,55," United-States","low"
350,52," Self-emp-not-inc",30008," Masters",14,2," Farming-fishing"," Husband",5,2,0,0,45," United-States","low"
351,58," Private",178644," HS-grad",9,5," Craft-repair"," Unmarried",5,2,0,0,40," United-States","low"
353,59," Private",96459," 11th",7,3," Machine-op-inspct"," Not-in-family",5,2,0,0,40," United-States","low"
355,49," Private",52184," HS-grad",9,2," Machine-op-inspct"," Husband",5,2,0,0,40," United-States","low"
356,68," Private",174895," HS-grad",9,2," Other-service"," Husband",5,2,0,0,40," United-States","low"
357,38," Local-gov",230054," Some-college",10,2," Farming-fishing"," Husband",5,2,0,0,40," United-States","low"
358,26," Private",292803," Some-college",10,3," Other-service"," Own-child",5,1,0,0,24," United-States","low"
359,39," Private",193689," Some-college",10,2," Machine-op-inspct"," Husband",5,2,0,0,40," United-States","low"
360,43," Private",248476," Bachelors",13,2," Handlers-cleaners"," Husband",5,2,0,0,60," United-States","low"
363,29," Federal-gov",33315," Assoc-acdm",12,1," Adm-clerical"," Not-in-family",5,1,0,0,40," United-States","low"
365,36," Self-emp-not-inc",184435," 11th",7,3," Transport-moving"," Not-in-family",3,2,0,0,40," United-States","low"
366,20," Private",137618," Some-college",10,3," Transport-moving"," Own-child",5,2,0,0,35," United-States","low"
367,35," Private",272019," 11th",7,2," Craft-repair"," Husband",5,2,0,2060,40," United-States","low"
368,19," Private",339123," Some-college",10,3," Exec-managerial"," Own-child",5,2,0,0,40," United-States","low"
370,65," Private",87164," 11th",7,5," Sales"," Other-relative",5,1,0,0,20," United-States","low"
371,40," Private",92649," Assoc-acdm",12,1," Adm-clerical"," Unmarried",5,1,0,0,40," United-States","low"
372,25," Private",120268," Bachelors",13,3," Prof-specialty"," Own-child",5,2,0,0,70," United-States","low"
374,27," Private",26326," Assoc-voc",11,1," Other-service"," Unmarried",1,1,0,0,40," United-States","low"
375,35," Self-emp-inc",187046," Masters",14,2," Adm-clerical"," Husband",5,2,0,0,50," United-States","low"
380,24," Private",111445," HS-grad",9,3," Sales"," Not-in-family",5,2,0,0,38," United-States","low"
382,46," Private",182533," Bachelors",13,3," Adm-clerical"," Unmarried",2,1,0,0,40," Philippines","low"
384,34," Private",321787," Some-college",10,3," Adm-clerical"," Own-child",5,2,0,0,40," United-States","low"
386,30," Self-emp-not-inc",55176," HS-grad",9,2," Craft-repair"," Husband",5,2,0,0,30," United-States","low"
387,35," Private",139012," Bachelors",13,2," Other-service"," Husband",2,2,0,0,40," Vietnam","low"
390,37," Private",26898," HS-grad",9,1," Exec-managerial"," Unmarried",5,1,0,0,12," United-States","low"
391,34," Private",351810," Bachelors",13,3," Prof-specialty"," Not-in-family",5,1,0,0,45," Cuba","low"
393,20," Private",333843," HS-grad",9,3," Adm-clerical"," Own-child",5,1,0,0,40," United-States","low"
396,53," Private",208402," Some-college",10,1," Adm-clerical"," Unmarried",4,1,4864,0,45," Mexico","low"
397,75," Self-emp-not-inc",213349," HS-grad",9,2," Farming-fishing"," Husband",5,2,0,0,20," United-States","low"
398,71," Self-emp-not-inc",130731," HS-grad",9,5," Adm-clerical"," Not-in-family",5,1,0,0,35," United-States","low"
401,28," Private",126743," 5th-6th",3,3," Other-service"," Other-relative",5,2,2175,0,52," Mexico","low"
404,34," Private",234096," 9th",5,1," Craft-repair"," Not-in-family",5,2,0,0,40," United-States","low"
405,19," Private",120251," HS-grad",9,3," Adm-clerical"," Own-child",5,1,0,0,14," United-States","low"
406,36," Private",179731," HS-grad",9,3," Priv-house-serv"," Other-relative",5,1,0,0,20," ?","low"
408,22," Private",91842," Some-college",10,3," Sales"," Not-in-family",5,1,0,0,42," United-States","low"
410,50," ?",257117," 9th",5,2," ?"," Husband",5,2,0,0,50," United-States","low"
412,19," Private",185097," HS-grad",9,3," Handlers-cleaners"," Not-in-family",5,1,0,0,37," United-States","low"
413,27," Federal-gov",214385," HS-grad",9,3," Adm-clerical"," Not-in-family",3,1,0,0,40," United-States","low"
414,28," Federal-gov",381789," Bachelors",13,3," Prof-specialty"," Not-in-family",5,2,0,0,50," United-States","low"
415,57," Private",186361," Assoc-voc",11,3," Other-service"," Own-child",5,1,0,0,40," United-States","low"
416,20," Private",117222," HS-grad",9,3," Other-service"," Own-child",5,2,0,0,50," United-States","low"
417,32," Private",143604," HS-grad",9,1," Other-service"," Not-in-family",3,1,0,0,16," United-States","low"
418,26," Private",185885," Assoc-acdm",12,3," Tech-support"," Other-relative",5,1,0,0,20," United-States","low"
421,23," Private",240137," 5th-6th",3,3," Handlers-cleaners"," Not-in-family",5,2,0,0,55," Mexico","low"
422,25," Private",311124," Prof-school",15,3," Prof-specialty"," Not-in-family",5,1,0,0,20," United-States","low"
423,55," Private",147653," Bachelors",13,1," Adm-clerical"," Unmarried",5,1,0,0,73," United-States","low"
